id;aveanau;date_debut_conv;duree_convention;etat_convention;nbr_tranche;nom_convention;objectif;projet_id;type_convention_id
1;bypassing Fresh administration;2023-06-17;Home;capability Islands Mexico;80937;auxiliary Home;../fake-data/blob/hipster.txt;1;1
2;Soft Towels;2023-06-18;Generic XML;Beauty Producer;59702;payment compress;../fake-data/blob/hipster.txt;2;2
3;Investment;2023-06-17;bleeding-edge compressing;deposit aggregate;10322;Berkshire Principal Plastic;../fake-data/blob/hipster.txt;3;3
4;Granite;2023-06-17;metrics Reunion;hacking Digitized strategy;45500;synthesizing strategic;../fake-data/blob/hipster.txt;4;4
5;Michigan cohesive HDD;2023-06-17;Denar Soap Ergonomic;Bedfordshire;57811;payment;../fake-data/blob/hipster.txt;5;5
6;Handcrafted Keyboard Pennsylvania;2023-06-17;Coordinator payment;feed Toys Creative;96073;Hat;../fake-data/blob/hipster.txt;6;6
7;virtual Unbranded quantifying;2023-06-17;Florida empowering;Fresh;70924;withdrawal multi-tasking Concrete;../fake-data/blob/hipster.txt;7;7
8;software;2023-06-17;Account;Bedfordshire Fiji Steel;83639;Table;../fake-data/blob/hipster.txt;8;8
9;users client-driven;2023-06-17;experiences;Manat;46526;green;../fake-data/blob/hipster.txt;9;9
10;Representative;2023-06-17;Dynamic;Rubber hard;86649;Toys;../fake-data/blob/hipster.txt;10;10
