id;nom_projet;annee_projet;date_debut;duree_projet;montant_projet
1;Technician;Persevering program Account;2023-06-18;pixel mobile;35368
2;Managed engineer;Crossroad Pike;2023-06-17;THX interface;9214
3;hierarchy programming;data-warehouse bluetooth;2023-06-17;24/7 Future;34902
4;United;Books;2023-06-17;black Garden;2525
5;Fresh;Consultant Facilitator Hat;2023-06-17;value-added;25393
6;parse;multi-state Senior Lakes;2023-06-17;gold Investment;86117
7;Beauty one-to-one calculating;Tools solutions Clothing;2023-06-17;Niger Grocery Strategist;68128
8;real-time;green;2023-06-17;deposit;23766
9;Fresh networks Soap;protocol Dynamic;2023-06-17;Investment 24/7 redefine;41365
10;Fantastic Handcrafted;Keyboard;2023-06-17;programming vortals Money;57011
